label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
rho_mass_0p7_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164416_least_load_hpwp_v1,3236.7386363636365,3175.5,5502.75,6657.35,1.0,0.6161329621216642,ok
rho_mass_0p7_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164420_least_load_hpwp_v1,3253.032608695652,3248.0,5822.0,8141.75,1.0,0.6093322061799636,ok
rho_mass_0p7_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164424_least_load_hpwp_v1,2946.1003584229393,2913.0,5789.4,7224.499999999999,1.0,0.6180164046513099,ok
rho_mass_0p7_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164428_least_load_hpwp_v1,2591.7649325626203,2314.0,5287.1,6381.340000000002,1.0,0.5172652970799761,ok
rho_mass_0p7_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164433_least_load_hpwp_v1,2578.75138121547,2163.0,5356.5,6531.300000000009,1.0,0.5281918669506135,ok
rho_mass_0p7_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164437_least_load_hpwp_v1,2270.1005484460693,2106.0,4426.399999999997,6647.519999999997,1.0,0.5118369713588539,ok
rho_mass_0p7_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164442_least_load_hpwp_v1,2059.2625118035885,1568.0,4674.9,6542.180000000017,1.0,0.39859700223637734,ok
rho_mass_0p7_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164447_least_load_hpwp_v1,1999.994599459946,1513.0,4694.0,6790.6000000000095,1.0,0.3931689284489517,ok
rho_mass_0p7_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164452_least_load_hpwp_v1,1908.5267379679144,1555.5,4428.8,6571.069999999999,1.0,0.4149433516067073,ok
tau_p_0p008_low,tau_p,$\tau_p$,hpwp_tau_p,0.008,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164457_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
